Title,OST Track Name
Final Fantasy,None
Final Fantasy (NES JP),None
Final Fantasy (WonderSwan Color),None
Final Fantasy (PS1),None
Final Fantasy (GBA),None
Final Fantasy (PSP),None
Final Fantasy Pixel Remaster,None

Final Fantasy II,Chocobo Theme (FFII)
Final Fantasy II (NES JP),Chocobo Theme (FFII)
Final Fantasy II (WonderSwan),Chocobo Theme (FFII)
Final Fantasy II (PS1),Chocobo Theme (FFII)
Final Fantasy II (GBA),Chocobo Theme (FFII)
Final Fantasy II (PSP),Chocobo Theme (FFII)
Final Fantasy II Pixel Remaster,Chocobo Theme (FFII)

Final Fantasy III,Chocobo Theme (FFIII)
Final Fantasy III (NES JP),Chocobo Theme (FFIII)
Final Fantasy III (DS),Chocobo Theme (FFIII)
Final Fantasy III (PSP),Chocobo Theme (FFIII)
Final Fantasy III Pixel Remaster,Chocobo Theme (FFIII)

Final Fantasy IV,Chocobo Theme (FFIV)
Final Fantasy IV Easy Type,Chocobo Theme (FFIV)
Final Fantasy IV (WonderSwan),Chocobo Theme (FFIV)
Final Fantasy IV (PS1),Chocobo Theme (FFIV)
Final Fantasy IV (GBA),Chocobo Theme (FFIV)
Final Fantasy IV (PSP Complete),Chocobo Theme (FFIV)
Final Fantasy IV Pixel Remaster,Chocobo Theme (FFIV)
Final Fantasy IV The After Years,Chocobo Theme (FFIV)
Final Fantasy IV Interlude,Chocobo Theme (FFIV)

Final Fantasy V,Chocobo's Theme (FFV)
Final Fantasy V (PS1),Chocobo's Theme (FFV)
Final Fantasy V (GBA),Chocobo's Theme (FFV)
Final Fantasy V (iOS/Android),Chocobo's Theme (FFV)
Final Fantasy V Pixel Remaster,Chocobo's Theme (FFV)

Final Fantasy VI,Techno de Chocobo (FFVI)
Final Fantasy VI (PS1),Techno de Chocobo (FFVI)
Final Fantasy VI (GBA),Techno de Chocobo (FFVI)
Final Fantasy VI (iOS/Android),Techno de Chocobo (FFVI)
Final Fantasy VI Pixel Remaster,Techno de Chocobo (FFVI)

Final Fantasy VII,Chocobo Theme (FFVII)
Final Fantasy VII International,Chocobo Theme (FFVII)
Final Fantasy VII (PS3),Chocobo Theme (FFVII)
Final Fantasy VII (PS4),Chocobo Theme (FFVII)
Final Fantasy VII (Switch),Chocobo Theme (FFVII)
Final Fantasy VII (OST – Electric de Chocobo),Electric de Chocobo
Final Fantasy VII (OST – Cinco de Chocobo),Cinco de Chocobo
Final Fantasy VII (OST – Waltz de Chocobo),Waltz de Chocobo
Final Fantasy VII (OST – Fiddle de Chocobo),Fiddle de Chocobo

Final Fantasy VII Remake,Chocobo Theme (FFVII – rearranged)
Final Fantasy VII Remake Intergrade,Chocobo Theme (FFVII – rearranged)
Final Fantasy VII Rebirth,Chocobo Theme (FFVII – rearranged)

Crisis Core Final Fantasy VII,Chocobo Theme (FFVII – rearranged)
Crisis Core Final Fantasy VII Reunion,Chocobo Theme (FFVII – rearranged)
Before Crisis Final Fantasy VII,Chocobo Theme (FFVII – mobile)
Dirge of Cerberus Final Fantasy VII,Chocobo Theme (FFVII – ambient)
Dirge of Cerberus Lost Episode,Chocobo Theme (FFVII – ambient)
Final Fantasy VII Advent Children,Chocobo Theme (FFVII – orchestral quote)
Final Fantasy VII Advent Children Complete,Chocobo Theme (FFVII – orchestral quote)
Last Order Final Fantasy VII,Chocobo Theme (FFVII – motif)
Final Fantasy VII Snowboarding,Electric de Chocobo
Final Fantasy VII G-Bike,Chocobo Theme (FFVII – remix)
Final Fantasy VII Ever Crisis,Chocobo Theme (FFVII – modern rearrangement)
Final Fantasy VII The First Soldier,Chocobo Theme (FFVII – remix)

Final Fantasy VIII,The Loser
Final Fantasy VIII International,The Loser
